id,nama,harga_beli,harga_default,shopee_price,tokopedia_price,harga_akhir,profit
083520010407,Marimas Nanas,490.0,563.5,,1,1,-489.0
089686010015,Indomie Rebus Ayam Bawang,3000.0,3450.0,,1,1,-2999.0
089686010343,Mie Soto Mie,3000.0,3450.0,,1,1,-2999.0
